Team,Deprecated component,Found in filepath
content,components/wdx/Card,/src/components/Accordion/Accordion.js
content,components/wdx/Card,/src/components/RichText/index.js
content,components/wdx/Iconography,/src/components/Accordion/Accordion.js
content,components/wdx/Iconography,/src/components/HeroBanner/Button/index.js
content,components/wdx/Modal,/src/components/ProductPicker/ProductPicker.js
content,components/wdx/Spinner,/src/components/ProductPicker/ProductPicker.js
content,components/wdx/Alert,/src/components/CompetitionsForms/Sections/ErrorSummary/DuplicateEntry.js
content,components/wdx/Alert,/src/components/CompetitionsForms/Sections/ErrorSummary/SummaryBox.js
content,components/wdx/Text,/src/components/CompetitionsForms/CompetitionsForm.js
content,components/wdx/Text,/src/components/CompetitionsForms/Sections/Address/index.js
content,components/wdx/Text,/src/components/CompetitionsForms/Sections/Closed/index.js
content,components/wdx/Text,/src/components/CompetitionsForms/Sections/Details/index.js
content,components/wdx/Text,/src/components/CompetitionsForms/Sections/MyWaitrose/index.js
content,components/wdx/Text,/src/components/CompetitionsForms/Sections/OptIn/index.js
content,components/wdx/Text,/src/components/CompetitionsForms/Sections/QuestionAndAnswers/index.js
content,components/wdx/Text,/src/components/CompetitionsForms/Sections/Receipt/index.js
content,components/wdx/Text,/src/components/CompetitionsForms/Sections/SimpleQuestion/index.js
content,components/wdx/Text,/src/components/CompetitionsForms/Sections/SubmissionSuccess/index.js
content,components/wdx/Text,/src/components/CompetitionsForms/Sections/TermsAndConditions/index.js
content,components/Button/styles.scss,/src/components/FullWidthNavigation/index.js
content,components/Button,/src/components/HeroBanner/Button/index.js
content,components/Button,/src/components/WhyWaitrose/Panel/index.js
buyCheckout,components/wdx/Card,/src/components/Checkout/Checkout.js
buyCheckout,components/wdx/Card,/src/components/CheckoutContactOptions/index.js
buyCheckout,components/wdx/Card,/src/components/CheckoutDeliveryOptions/index.js
buyCheckout,components/wdx/Card,/src/components/CheckoutOrderSummary/CheckoutOrderSummary.js
buyCheckout,components/wdx/Card,/src/components/CheckoutTotals/index.js
buyCheckout,components/wdx/Card,/src/components/GiftVouchersAndCards/GiftVouchersAndCards.js
buyCheckout,components/wdx/Card,/src/components/MyPaymentCards/MyPaymentCards.js
buyCheckout,components/wdx/Card,/src/components/OrderDetails/OrderDetails.js
buyCheckout,components/wdx/Card,/src/components/PaymentCardForm/PaymentCardForm.js
buyCheckout,components/wdx/Card,/src/components/PaymentSavedCard/index.js
buyCheckout,components/wdx/Card,/src/components/PendingOrderSummary/PendingOrderSummary.js
buyCheckout,components/wdx/Card,/src/components/PreviousOrderSummary/PreviousOrderSummary.js
buyCheckout,components/wdx/Card,/src/components/ViewOrder/Alert/OrderAlert.js
buyCheckout,components/wdx/Card,/src/components/ViewOrder/OrderedProductPod/OrderedProductPod.js
buyCheckout,components/wdx/Card,/src/components/ViewOrder/Page/ViewOrderPage.js
buyCheckout,components/wdx/Iconography,/src/components/AddToCalendar/index.js
buyCheckout,components/wdx/Iconography,/src/components/Forms/ReduxFormFields/CardSecurityNumber/index.js
buyCheckout,components/wdx/Iconography,/src/components/Forms/ReduxFormFields/ExpiryDate/ExpiryDate.js
buyCheckout,components/wdx/Iconography,/src/components/GiftCard/index.js
buyCheckout,components/wdx/Iconography,/src/components/GiftVoucher/index.js
buyCheckout,components/wdx/Iconography,/src/components/GiftVouchersAndCards/GiftVouchersAndCards.js
buyCheckout,components/wdx/Iconography,/src/components/OrderConfirmation/OrderSuccess/index.js
buyCheckout,components/wdx/Iconography,/src/components/OrderDetails/OrderStatus/index.js
buyCheckout,components/wdx/Iconography,/src/components/OrderDetails/PaymentMethods/PaymentMethods.js
buyCheckout,components/wdx/Iconography,/src/components/PaymentCard/PaymentCard.js
buyCheckout,components/wdx/Iconography,/src/components/PaymentCardForm/PaymentCardForm.js
buyCheckout,components/wdx/Iconography,/src/components/PaymentCardForm/SupportedCardIcons.js
buyCheckout,components/wdx/Iconography,/src/components/PendingOrderSummary/PendingOrderSummary.js
buyCheckout,components/wdx/Iconography,/src/components/PreviousOrderSummary/PreviousOrderSummary.js
buyCheckout,components/wdx/Modal,/src/components/AddGiftCardModal/AddGiftCardModal.js
buyCheckout,components/wdx/Modal,/src/components/AddGiftVoucherModal/AddGiftVoucherModal.js
buyCheckout,components/Forms/ReduxFormFields/InputTel,/src/components/AddGiftCardModal/GiftCardEntry/EntryForm/EntryForm.js
buyCheckout,components/Forms/ReduxFormFields/InputTel,/src/components/AddGiftVoucherModal/GiftVoucherEntry/EntryForm/EntryForm.js
buyCheckout,components/wdx/Spinner,/src/components/GiftCard/index.js
buyCheckout,components/wdx/Spinner,/src/components/GiftVoucher/index.js
buyCheckout,components/wdx/Spinner,/src/components/MyPaymentCards/MyPaymentCards.js
buyCheckout,components/wdx/Alert,/src/components/OrderDetails/OrderDetails.js
buyCheckout,components/wdx/Alert,/src/components/PaymentCardRequired/index.js
buyCheckout,components/wdx/Alert,/src/components/ViewOrder/Alert/OrderAlert.js
buyCheckout,components/wdx/Text,/src/components/Checkout/CarrierBags/CarrierBags.js
buyCheckout,components/wdx/Text,/src/components/CheckoutCarrierBagOptions/CheckoutCarrierBagOptions.js
buyCheckout,components/wdx/Text,/src/components/OrderConfirmation/OrderConfirmation.js
buyCheckout,components/wdx/Text,/src/components/OrderConfirmation/OrderConfirmationTotals/OrderConfirmationTotals.js
buyCheckout,components/wdx/Text,/src/components/OrderConfirmation/OrderSummary/OrderSummary.js
buyCheckout,components/wdx/Text,/src/components/PartnerDiscountConfirmationModal/PartnerDiscountConfirmationModal.js
buyCheckout,components/wdx/FormattedModal,/src/components/CheckoutError/CheckoutError.js
buyCheckout,components/wdx/FormattedModal,/src/components/MyPaymentCardsRemoveModal/MyPaymentCardsRemoveModal.js
buyCheckout,components/Button,/src/components/GiftVouchersAndCards/GiftVouchersAndCards.js
buyCheckout,components/Button,/src/components/PaymentCardForm/PaymentCardForm.js
buyCheckout,components/Button,/src/components/PaymentSavedCard/index.js
buyCheckout,components/Button,/src/components/PendingOrderSummary/PendingOrderSummary.js
buyCheckout,components/wdx/buttons/ViewOrder,/src/components/OrderConfirmation/OrderSuccess/index.js
buyCheckout,components/wdx/buttons/ViewOrder,/src/components/PendingOrderSummary/PendingOrderSummary.js
buyCheckout,components/wdx/buttons/ViewOrder,/src/components/PreviousOrderSummary/PreviousOrderSummary.js
browse,components/wdx/Card,/src/components/ShoppingLists/Card/ShoppingListCard.js
