Team,Priority component,Found in filepath
browse,ADD_LIST,/src/components/Lists/CreateList/Button/index.js
browse,ADD_LIST,/src/components/Lists/CreateList/CreateList.js
browse,ADD_LIST,/src/components/ShoppingLists/CreateListCard/Button/CreateList.js
browse,ALERT,/src/components/ProductDetails/Content/NoReviewsAlert.js
browse,ALERT,/src/components/Search/SearchHeader/SearchHeader.js
browse,ALERT,/src/components/SiteHeader/SlotButton/Alert/index.js
browse,ANCHOR_LINK,/src/components/Breadcrumbs/Crumb/index.js
browse,ANCHOR_LINK,/src/components/Breadcrumbs/OfferLink/index.js
browse,ANCHOR_LINK,/src/components/CategoryLinks/CategoryLink/CategoryLink.js
browse,ANCHOR_LINK,/src/components/MegaMenu/CMSMenuLink/CMSMenuLink.js
browse,ANCHOR_LINK,/src/components/MegaMenu/MenuLink/index.js
browse,ANCHOR_LINK,/src/components/Product/MyWaitrosePopover/index.js
browse,ANCHOR_LINK,/src/components/ShoppingLists/Card/ButtonPanel/index.js
browse,ANCHOR_LINK,/src/components/ShoppingLists/Card/Empty/index.js
browse,ANCHOR_LINK,/src/components/ShoppingLists/Card/Thumbnails/index.js
browse,ANCHOR_LINK,/src/components/ShoppingLists/Card/Title/index.js
browse,ANCHOR_LINK,/src/components/SiteHeader/BookSlotButton/BookSlotButton.js
browse,ANCHOR_LINK,/src/components/SiteHeader/LinksBar/index.js
browse,ANCHOR_LINK,/src/components/SiteHeader/LinksBar/MyAccount/MyAccount.js
browse,ANCHOR_LINK,/src/components/SiteHeader/MobileHeader/MobileHeader.js
browse,ANCHOR_LINK,/src/components/SiteHeader/SiteHeaderLinks/index.js
browse,ANCHOR_LINK,/src/components/SiteHeader/SiteHeaderLinks/MyAccountMenu/MyAccountMenu.js
browse,ANCHOR_LINK,/src/components/SiteHeader/SiteHeaderMinimal.js
browse,ANCHOR_LINK,/src/components/SiteHeader/SlideOutNav/MenuCard/MenuCard.js
browse,ANCHOR_LINK,/src/components/SiteHeader/SlideOutNav/MenuLink/MenuLink.js
browse,BUTTON,/src/components/CategoryLinks/SeeMore/SeeMore.js
browse,BUTTON,/src/components/Footer/SiteLinks/SiteLinks.js
browse,BUTTON,/src/components/ProceedThroughCheckout/ProceedThroughCheckout.js
browse,BUTTON,/src/components/SiteHeader/ShoppingSummary/SlotDetails/SlotDetails.js
browse,BUTTON,/src/components/SiteHeader/ShoppingSummary/TrolleyInformation/TrolleyInformation.js
browse,CARD,/src/components/ShoppingLists/Card/ShoppingListCard.js
browse,ICONS,/src/components/BackToTop/index.js
browse,ICONS,/src/components/Footer/SocialLinks/index.js
browse,ICONS,/src/components/HomeLink/index.js
browse,ICONS,/src/components/HomePage/Header/Account/MyAccount/MyAccount.js
browse,ICONS,/src/components/Lists/CreateList/Button/index.js
browse,ICONS,/src/components/Lists/EmptyList/index.js
browse,ICONS,/src/components/MegaMenu/MenuLink/index.js
browse,ICONS,/src/components/MegaMenu/Menus/Menus.js
browse,ICONS,/src/components/MissedOffers/MissedOffer/OfferLink/OfferLink.js
browse,ICONS,/src/components/MissedOffers/MissedOffer/Title/MissedOfferTitle.js
browse,ICONS,/src/components/PageTitle/index.js
browse,ICONS,/src/components/Product/Attributes/index.js
browse,ICONS,/src/components/Search/SearchHistory/index.js
browse,ICONS,/src/components/Search/SearchMeta/SearchTag/Editable/DeleteButton/SearchTagDeleteButton.js
browse,ICONS,/src/components/Search/SuggestedTags/Tag/index.js
browse,ICONS,/src/components/SearchError/SearchError.js
browse,ICONS,/src/components/SearchResult/SearchResult.js
browse,ICONS,/src/components/SiteHeader/BookSlotButton/BookSlotButton.js
browse,ICONS,/src/components/SiteHeader/LinksBar/DropDownNav/DropDownNav.js
browse,ICONS,/src/components/SiteHeader/LinksBar/index.js
browse,ICONS,/src/components/SiteHeader/LinksBar/MyAccount/MyAccount.js
browse,ICONS,/src/components/SiteHeader/ShoppingSummary/TrolleyInformation/TrolleyInformation.js
browse,ICONS,/src/components/SiteHeader/SiteHeaderBrowse/SiteHeaderBrowse.js
browse,ICONS,/src/components/SiteHeader/SiteHeaderLinks/index.js
browse,ICONS,/src/components/SiteHeader/SiteHeaderLinks/MyAccountMenu/MyAccountMenu.js
browse,ICONS,/src/components/SiteHeader/SiteHeaderMinimal.js
browse,ICONS,/src/components/SiteHeader/SlideOutNav/MenuLink/MenuLink.js
browse,ICONS,/src/components/SiteHeader/SlideOutNav/SlideOutNav.js
browse,MODAL,/src/components/AddAllItemsErrorModal/AddAllItemsErrorModal.js
browse,MODAL,/src/components/HomePage/HomePage.js
browse,MODAL,/src/components/MultiSearch/Modal/MultiSearchModal.js
browse,MODAL,/src/components/Product/Image/index.js
browse,TEXT_INPUT,/src/components/TrolleyActions/PersonalisedProductTrolleyActions/PersonalisedProductTrolleyActions.js
browse,TYPOGRAPHY,/src/components/Lists/EmptyList/index.js
browse,TYPOGRAPHY,/src/components/SearchResult/SearchResult.js
account,ALERT,/src/components/Address/AddressBook/AddressBook.js
account,ALERT,/src/components/Address/common/ChooseAddressModal/AddressBookView/index.js
account,ADDRESS_TILE,/src/components/Address/common/AddressTile/index.js
account,ANCHOR_LINK,/src/components/Address/common/ChooseAddressModal/AddAddressView/index.js
account,ANCHOR_LINK,/src/components/MarketingPreferences/index.js
account,ANCHOR_LINK,/src/components/MyAccount/List.js
account,ANCHOR_LINK,/src/components/MyDetails/ChangePasswordModal/ChangePasswordModal.js
account,ANCHOR_LINK,/src/components/MyDetails/MyDetails.js
account,CARD,/src/components/MarketingPreferences/index.js
account,CARD,/src/components/MyAccount/List.js
account,CARD,/src/components/MyDetails/MyDetails.js
account,ICONS,/src/components/Address/common/ChooseAddressModal/AddAddressView/index.js
account,ICONS,/src/components/MarketingPreferences/index.js
account,ICONS,/src/components/MyAccount/List.js
account,ICONS,/src/components/MyAccount/MyMembership.js
account,ICONS,/src/components/SeachNavigateBack/SeachNavigateBack.js
account,ICONS,/src/ingredients/AddressTile/index.js
account,MODAL,/src/components/Address/common/CannotAlterAddressModal/CannotAlterAddressModal.js
account,TYPOGRAPHY,/src/components/Address/AddressFormUpdated/AddressName/StaticAddressName.js
